marker_class,n_genes,spearman_rho,pvalue,same_direction_fraction,direction_pvalue,qvalue,direction_qvalue
apoptosis,38,0.3653572600941022,0.02409626842144522,0.7894736842105263,0.0002359933714615181,0.04819253684289044,0.0004719867429230362
proliferation,91,-0.03629558846950152,0.7326789759289739,0.6043956043956044,0.029286764205094427,0.7326789759289739,0.029286764205094427
