dataset,replicate,age,broad_type,n_cells,ACIN1,CASP2,CASP3,CASP7,DFFA,DFFB,ROCK1,CASP8,DAB2IP,FADD,FAS,FASLG,TNFRSF1A,TNFSF10,TRADD,AIFM1,APAF1,BAD,BAX,BBC3,BCL2L11,BID,BNIP3L,CASP9,DIABLO,ENDOG,OMA1,DAP3,DAPK1,DAPK2,DAPK3,DDIT3,EIF2AK3,MAP3K5,PRKCD,TP53,TP53BP2,UNC5B,ANLN,ANP32E,AURKA,AURKB,BIRC5,BUB1,BUB3,CCNB1,CCNB2,CDC20,CDK1,CENPF,CENPK,CKAP2L,CKAP5,CKS1B,CKS2,CTCF,DLGAP5,ECT2,G2E3,GAS2L3,GTSE1,HMGB2,HMMR,KIF11,KIF20B,KIF23,KIF2C,LBR,MAD2L1,MKI67,NCAPD2,NDC80,NEK2,PLK1,RANGAP1,SMC4,TACC3,TMPO,TOP2A,TPX2,TTK,UBE2C,ATAD2,BLM,CASP8AP2,CCNE1,CDC45,CDC6,CDCA7,CHAF1B,DSCC1,DTL,E2F8,EXO1,FEN1,GINS1,GINS2,GINS3,GMNN,HELLS,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MRPL36,MSH2,NASP,ORC1,PCNA,POLA1,POLA2,POLD3,POLR1B,PRIM1,RAD51,RAD51AP1,RFC2,RFC3,RRM1,RRM2,TIPIN,TYMS,UBR7,UHRF1,UNG,USP1,WDR76,proliferation,S_phase,G2M_phase,apoptosis
Popescu,F16,8.142857142857142,erythroid,844,0.3967251777648926,0.08527016639709473,0.22441066801548004,0.021210456266999245,0.18798767030239105,0.03385069966316223,0.24910016357898712,0.04318844899535179,0.005631885025650263,0.09873121976852417,0.004138148855417967,0.0,0.08067663758993149,0.018354320898652077,0.032657645642757416,0.29313182830810547,0.012906386516988277,0.2230442315340042,0.589718759059906,0.008352411910891533,0.12342359125614166,0.36810460686683655,0.8346714973449707,0.029787465929985046,0.03656258434057236,0.025710346177220345,0.16643047332763672,0.5513913035392761,0.02393537014722824,0.0010801865719258785,0.07769997417926788,0.04766552895307541,0.0052493177354335785,0.01923946477472782,0.004026259295642376,0.2835056185722351,0.17283765971660614,0.0004774774133693427,0.12392329424619675,0.863457441329956,0.6221507787704468,0.5792638659477234,0.986108124256134,0.41269874572753906,0.8745158910751343,1.0372246503829956,1.0180449485778809,1.161595344543457,1.0297023057937622,1.1677329540252686,0.43391287326812744,0.2871091663837433,0.2616134583950043,1.187760829925537,1.6000474691390991,0.15275438129901886,0.6351924538612366,0.11722752451896667,0.20472966134548187,0.07491948455572128,0.32436561584472656,2.8168466091156006,0.7399588227272034,0.26514509320259094,0.6344712376594543,0.3102804720401764,0.2865746319293976,0.7898708581924438,0.6937419176101685,0.7801598906517029,0.17490607500076294,0.3966500163078308,0.254332035779953,0.5647819638252258,0.20711113512516022,1.3236098289489746,0.5507931709289551,0.6819808483123779,0.7785272598266602,0.7044586539268494,0.232969269156456,1.0977364778518677,0.4485711455345154,0.18525177240371704,0.29136914014816284,0.0524488165974617,0.35397085547447205,0.37460365891456604,0.26241111755371094,0.15255914628505707,0.2876394987106323,0.227669358253479,0.09687942266464233,0.18731938302516937,0.9191466569900513,0.1223142147064209,0.7214003801345825,0.09930647909641266,0.9172238111495972,0.42210692167282104,0.2883782982826233,0.5297642350196838,0.9164050221443176,0.59847092628479,0.9533812999725342,0.5662586688995361,0.5526045560836792,0.4639030694961548,1.3522400856018066,0.20934703946113586,1.4509087800979614,0.10781863331794739,0.2394484281539917,0.21536242961883545,0.060468923300504684,0.4710116386413574,0.33620256185531616,0.3604417145252228,0.45009252429008484,0.38080763816833496,0.7775692343711853,1.1220365762710571,0.45481613278388977,0.7493482828140259,0.15626949071884155,0.3917345404624939,0.3495609164237976,0.6074002385139465,0.20986507833003998,0.630556583404541,0.5980169177055359,0.6653148531913757,-0.06834367662668228
Popescu,F16,8.142857142857142,innate_lymphoid,43,0.5022081136703491,0.15173488855361938,0.6199996471405029,0.09871101379394531,0.30277350544929504,0.025519290938973427,0.5750566124916077,0.2745397984981537,0.005443122703582048,0.0717962309718132,0.03988518565893173,0.23223835229873657,0.4075603783130646,0.26670122146606445,0.08984000235795975,0.29898813366889954,0.13170650601387024,0.22825287282466888,0.7643930912017822,0.0036911184433847666,0.1535283625125885,0.6021792888641357,0.42457473278045654,0.08504105359315872,0.21529056131839752,0.025408102199435234,0.20812296867370605,0.6695683598518372,0.1480875164270401,0.011349325999617577,0.17908133566379547,0.19827879965305328,0.03364966809749603,0.04866059869527817,0.08530764281749725,0.4934893846511841,0.027731530368328094,0.027940617874264717,0.06130874902009964,1.0209885835647583,0.30953845381736755,0.5545084476470947,0.5561491250991821,0.16928668320178986,0.9730060696601868,0.5546889901161194,0.4233469069004059,0.5540652871131897,0.6154673099517822,0.7321457266807556,0.3353273272514343,0.18762284517288208,0.24168497323989868,0.7331900596618652,0.8732272386550903,0.09473025798797607,0.3520355224609375,0.07581380754709244,0.17414838075637817,0.055687315762043,0.2774467468261719,2.105297088623047,0.321985125541687,0.18248794972896576,0.29610374569892883,0.1948176473379135,0.24331124126911163,0.5398225784301758,0.42302167415618896,0.5958443284034729,0.3149360716342926,0.22477246820926666,0.1652597188949585,0.4061061441898346,0.21001797914505005,0.7758715152740479,0.45261311531066895,0.6269346475601196,0.8513971567153931,0.3966851234436035,0.13564974069595337,0.6983619332313538,0.28956088423728943,0.10687526315450668,0.30908557772636414,0.018839403986930847,0.1569654494524002,0.3453466594219208,0.307120680809021,0.10365504026412964,0.0840655118227005,0.16594767570495605,0.06441998481750488,0.03655942529439926,0.5238556265830994,0.058478254824876785,0.33256635069847107,0.03737674653530121,0.38805219531059265,0.506954550743103,0.12478790432214737,0.42947036027908325,0.6544308066368103,0.3043747544288635,0.8771078586578369,0.36961430311203003,0.42436155676841736,0.3202292323112488,1.181801676750183,0.05420467630028725,0.9471951723098755,0.1391495168209076,0.20382554829120636,0.1561560481786728,0.09912487864494324,0.20946508646011353,0.2588900327682495,0.16616325080394745,0.38829052448272705,0.19362716376781464,0.5237756967544556,0.5979254841804504,1.5811604261398315,0.7094588279724121,0.09939274936914444,0.3532482385635376,0.24685746431350708,0.4150618612766266,0.12050709873437881,0.2631644010543823,0.28281161189079285,0.2421775460243225,0.2683340907096863
Popescu,F16,8.142857142857142,macrophage,31,0.30098065733909607,0.14267069101333618,0.27674949169158936,0.07159531861543655,0.24079830944538116,0.0,0.37958699464797974,0.12953858077526093,0.0,0.04417598247528076,0.08197329193353653,0.011823835782706738,0.7010987997055054,0.4391467273235321,0.10417581349611282,0.27447763085365295,0.14405721426010132,0.12862339615821838,0.8271833658218384,0.010218772105872631,0.043776631355285645,0.8222021460533142,0.6379445195198059,0.051254574209451675,0.03832073509693146,0.0646001324057579,0.26463189721107483,0.4075635075569153,0.2805735170841217,0.023608971387147903,0.13451513648033142,0.16337935626506805,0.009240719489753246,0.12304693460464478,0.3430468738079071,0.19933770596981049,0.1497638076543808,0.0,0.04625210538506508,0.48431292176246643,0.19862312078475952,0.24799257516860962,0.31576764583587646,0.041365835815668106,0.406955361366272,0.3842198848724365,0.33934643864631653,0.28438371419906616,0.36003726720809937,0.369507759809494,0.14078651368618011,0.08379855006933212,0.09738439321517944,0.5286230444908142,0.49739763140678406,0.1617072969675064,0.20133210718631744,0.0,0.03974936157464981,0.06575778126716614,0.16640247404575348,1.61138117313385,0.06401577591896057,0.12766432762145996,0.1676773875951767,0.11618777364492416,0.061079610139131546,0.44925087690353394,0.06861604005098343,0.3629271984100342,0.18389733135700226,0.06622833013534546,0.0,0.2140790969133377,0.17119203507900238,0.31004419922828674,0.3035419285297394,0.3856864273548126,0.36319881677627563,0.1584991067647934,0.01958581618964672,0.3130435645580292,0.11891680955886841,0.06482718139886856,0.12658724188804626,0.020408401265740395,0.08309244364500046,0.09093096852302551,0.2028193473815918,0.10924632847309113,0.07574967294931412,0.08315999060869217,0.03290426358580589,0.04277607053518295,0.3222275972366333,0.048333730548620224,0.23429596424102783,0.027018558233976364,0.22712469100952148,0.18982507288455963,0.07517848163843155,0.23738589882850647,0.40312403440475464,0.1487841159105301,0.4904859662055969,0.2217545509338379,0.27823370695114136,0.07168049365282059,0.7286922335624695,0.03950238227844238,0.5928751230239868,0.11136550456285477,0.07698328793048859,0.17047269642353058,0.0,0.11017836630344391,0.07187782973051071,0.09986226260662079,0.39303311705589294,0.07280389219522476,0.13522173464298248,0.3691604435443878,1.0919883251190186,0.1285374015569687,0.11108015477657318,0.1774982064962387,0.14548085629940033,0.2740229368209839,0.10659021884202957,-0.1553380936384201,-0.10675507038831711,-0.2072335034608841,0.1639024317264557
Popescu,F16,8.142857142857142,stem_progenitor,30,0.36816319823265076,0.20353522896766663,0.24378736317157745,0.14119477570056915,0.23484483361244202,0.05848873406648636,0.5072706341743469,0.173418328166008,0.0,0.16555649042129517,0.0,0.0,0.65299391746521,0.29164373874664307,0.04575261101126671,0.2326270192861557,0.08218444138765335,0.13507431745529175,0.725416898727417,0.0,0.03655296936631203,0.6185343861579895,0.5989730358123779,0.029129616916179657,0.11745849251747131,0.0195077583193779,0.25894832611083984,0.5522844195365906,0.14244690537452698,0.007952340878546238,0.10877912491559982,0.05377417430281639,0.0,0.018342042341828346,0.009318971075117588,0.32045942544937134,0.05456564575433731,0.0,0.06866256892681122,0.47764450311660767,0.23520779609680176,0.40948376059532166,0.4603939354419708,0.21349214017391205,0.7603309154510498,0.45302364230155945,0.4487694799900055,0.4738084673881531,0.4848184585571289,0.6666406393051147,0.3525886833667755,0.1277582347393036,0.22602669894695282,1.0035072565078735,1.270221471786499,0.13905028998851776,0.19605152308940887,0.03247732296586037,0.12871547043323517,0.0,0.18861466646194458,1.908669114112854,0.235415518283844,0.08702875673770905,0.38549190759658813,0.07551821321249008,0.1404028832912445,0.34057289361953735,0.5363916754722595,0.332017719745636,0.12804360687732697,0.21399958431720734,0.14462871849536896,0.21418604254722595,0.11343736946582794,0.6419445872306824,0.3743067681789398,0.4887341558933258,0.3227769732475281,0.24874244630336761,0.15773066878318787,0.7773875594139099,0.25655922293663025,0.09536324441432953,0.3534014821052551,0.005577248055487871,0.23556742072105408,0.203156977891922,0.6805581450462341,0.1312672644853592,0.2118849903345108,0.1802903115749359,0.028818663209676743,0.09205897897481918,0.6096487641334534,0.0920323058962822,0.5675185322761536,0.07861330360174179,0.6366891264915466,0.479851096868515,0.2041536122560501,0.3835311830043793,0.894396185874939,0.4087901711463928,0.9500517249107361,0.38432440161705017,0.5504419803619385,0.40488216280937195,1.394212007522583,0.12768301367759705,1.094469428062439,0.053776808083057404,0.1371224969625473,0.18739312887191772,0.09695805609226227,0.49085038900375366,0.2712844908237457,0.27970579266548157,0.432020366191864,0.23275572061538696,0.4228188097476959,0.48719215393066406,0.6686047911643982,0.7043313384056091,0.11543851345777512,0.5299727916717529,0.40729060769081116,0.5305766463279724,0.09711642563343048,0.22556142508983612,0.386660099029541,0.053478725254535675,0.09015899151563644
Popescu,F17,9.142857142857142,erythroid,1454,0.418535441160202,0.11875990778207779,0.29219478368759155,0.031174657866358757,0.16449278593063354,0.04116032272577286,0.24820256233215332,0.03598938137292862,0.0065161241218447685,0.07842709869146347,0.0009765202994458377,0.00013818814477417618,0.07636673748493195,0.012013069353997707,0.06161336973309517,0.2719377279281616,0.01502434816211462,0.18781381845474243,0.5092291235923767,0.042108695954084396,0.15401729941368103,0.3198191523551941,0.8523600697517395,0.0399826355278492,0.039659056812524796,0.11818797886371613,0.17548558115959167,0.5235264897346497,0.01643930748105049,0.0032002998050302267,0.08536919951438904,0.07592066377401352,0.007745747920125723,0.01625344529747963,0.006215351168066263,0.3520922064781189,0.24441847205162048,0.0001920650975080207,0.16217085719108582,0.8258064389228821,0.49639421701431274,0.47027134895324707,0.838083028793335,0.424140602350235,0.8409931659698486,0.8732449412345886,0.9226875305175781,1.0418773889541626,0.9253928661346436,1.0550791025161743,0.5534216165542603,0.22572064399719238,0.29201823472976685,1.0085678100585938,1.3181161880493164,0.26040157675743103,0.6125763058662415,0.14489834010601044,0.16492988169193268,0.09592559188604355,0.24624650180339813,2.7880184650421143,0.6141791343688965,0.25193700194358826,0.6002081632614136,0.26848217844963074,0.2629968822002411,0.938656747341156,0.6849818825721741,0.8601493835449219,0.1820688098669052,0.3428252041339874,0.19796861708164215,0.47034212946891785,0.16383926570415497,1.2041324377059937,0.49430274963378906,0.7395567893981934,0.7806714773178101,0.6654321551322937,0.20613087713718414,0.8312631249427795,0.4556867182254791,0.19120849668979645,0.3273756504058838,0.27362504601478577,0.34202513098716736,0.41840505599975586,0.22075623273849487,0.16501310467720032,0.2517724633216858,0.3051672577857971,0.11639385670423508,0.2115156501531601,0.901187539100647,0.14777331054210663,0.6571356654167175,0.11720038950443268,0.8583908677101135,0.4769766926765442,0.279504656791687,0.6077243685722351,0.9805985689163208,0.7435672879219055,0.9735805988311768,0.6149284243583679,0.4255857467651367,0.578681468963623,1.2939016819000244,0.2589833438396454,1.4951680898666382,0.15091665089130402,0.2357713133096695,0.22586002945899963,0.061907947063446045,0.49946969747543335,0.29823583364486694,0.3760015070438385,0.44563812017440796,0.3902127742767334,0.8436757922172546,1.033988118171692,0.5803626179695129,1.3337393999099731,0.19975240528583527,0.5053454637527466,0.3854684829711914,0.6241271495819092,0.2548442482948303,0.648719072341919,0.7174682021141052,0.5752823948860168,-0.022139212116599083
Popescu,F17,9.142857142857142,innate_lymphoid,144,0.4103243947029114,0.1406877487897873,0.8169200420379639,0.09219874441623688,0.19738613069057465,0.03755011036992073,0.6159459948539734,0.3358522057533264,0.0,0.057914573699235916,0.00913578737527132,0.35052502155303955,0.25035279989242554,0.30177655816078186,0.08573552966117859,0.16254667937755585,0.09329261630773544,0.292817085981369,0.7636584043502808,0.0156329944729805,0.3514280915260315,0.5141932964324951,0.2941242754459381,0.07524821907281876,0.14302560687065125,0.03190017119050026,0.11846849322319031,0.46259504556655884,0.12131205946207047,0.08370451629161835,0.1146603673696518,0.280370831489563,0.0492812842130661,0.050012603402137756,0.05336138233542442,0.3287021517753601,0.09402059018611908,0.0,0.03148036450147629,0.765315592288971,0.08962467312812805,0.14730866253376007,0.21780461072921753,0.11504580080509186,0.6883351802825928,0.09511217474937439,0.12796221673488617,0.11945169419050217,0.2422511875629425,0.2563886046409607,0.3015424311161041,0.05302172154188156,0.15716150403022766,0.36305364966392517,0.5040158033370972,0.18238788843154907,0.0789300724864006,0.05745402351021767,0.14158855378627777,0.017740510404109955,0.12242637574672699,1.3692374229431152,0.09385330229997635,0.08646862208843231,0.23082727193832397,0.05494110286235809,0.09733961522579193,0.6060202717781067,0.2443714439868927,0.3349451422691345,0.136188805103302,0.09156180918216705,0.01788562908768654,0.10202530026435852,0.11477943509817123,0.481580525636673,0.2069462388753891,0.31215184926986694,0.3133758306503296,0.19009047746658325,0.03475835174322128,0.2653861939907074,0.22800159454345703,0.13059602677822113,0.1976119875907898,0.019307885318994522,0.10189250856637955,0.1378585398197174,0.17809589207172394,0.0698702484369278,0.054409775882959366,0.11512283235788345,0.032993439584970474,0.022000804543495178,0.2734754681587219,0.027038725093007088,0.21564748883247375,0.04333861172199249,0.263450562953949,0.2921251952648163,0.054810281842947006,0.21010571718215942,0.36945950984954834,0.21149832010269165,0.4927530884742737,0.23760005831718445,0.18508446216583252,0.24893450736999512,0.9032487869262695,0.03680168092250824,0.5676454901695251,0.10031812638044357,0.12026245146989822,0.09791538119316101,0.03072209469974041,0.17805393040180206,0.10297315567731857,0.10601530969142914,0.3178807497024536,0.041407689452171326,0.36685097217559814,0.30793607234954834,1.4201728105545044,0.49335044622421265,0.08874337375164032,0.22878339886665344,0.18768645823001862,0.3551318645477295,0.11977037042379379,-0.12726229429244995,-0.031859856098890305,-0.2291693389415741,0.207626074552536
Popescu,F17,9.142857142857142,macrophage,61,0.333900511264801,0.08140573650598526,0.2528250217437744,0.035203780978918076,0.15887762606143951,0.02448391541838646,0.5923031568527222,0.1806224286556244,0.029330812394618988,0.010418849997222424,0.06209308281540871,0.05884180963039398,0.5582711100578308,0.3825754225254059,0.12542860209941864,0.11039446294307709,0.14922495186328888,0.18583661317825317,0.8155951499938965,0.01351271104067564,0.11019120365381241,0.9853449463844299,0.6879390478134155,0.10164184868335724,0.0964643731713295,0.02511262521147728,0.10395769029855728,0.39252614974975586,0.21247367560863495,0.028729284182190895,0.07467886060476303,0.267392635345459,0.027885913848876953,0.08919057995080948,0.24958565831184387,0.24396267533302307,0.12338830530643463,0.006362585816532373,0.04031388461589813,0.40262916684150696,0.018834203481674194,0.07018355280160904,0.1687113642692566,0.0427025742828846,0.33938583731651306,0.048154715448617935,0.1377418041229248,0.10146079957485199,0.14807318150997162,0.14463239908218384,0.07423480600118637,0.0753544345498085,0.0737990140914917,0.3534180521965027,0.4739338755607605,0.15836195647716522,0.04768618568778038,0.006238793022930622,0.08074517548084259,0.032553549855947495,0.04143737629055977,1.362855076789856,0.023851167410612106,0.08148624747991562,0.14083898067474365,0.05053097382187843,0.09362994879484177,0.4485098123550415,0.08790706843137741,0.19251079857349396,0.05079037696123123,0.03510908782482147,0.0,0.059049174189567566,0.0362965352833271,0.21390388906002045,0.1726696640253067,0.3073413074016571,0.11883494257926941,0.06898573786020279,0.010400054976344109,0.1489252895116806,0.1035633236169815,0.01935492269694805,0.0713856890797615,0.017704475671052933,0.047126900404691696,0.052083589136600494,0.05275806039571762,0.049269117414951324,0.03543801233172417,0.050309933722019196,0.012506102211773396,0.0281328447163105,0.15469196438789368,0.03237167373299599,0.16795283555984497,0.012386157177388668,0.1171453446149826,0.08038939535617828,0.0060837105847895145,0.1066618412733078,0.1560293287038803,0.08480437099933624,0.37054863572120667,0.16521474719047546,0.1573670506477356,0.14321185648441315,0.5716175436973572,0.03775343671441078,0.335393488407135,0.07451795041561127,0.02495746873319149,0.12523484230041504,0.026234034448862076,0.06106182932853699,0.027729535475373268,0.10057000815868378,0.1400272250175476,0.06913057714700699,0.19551266729831696,0.1835847795009613,0.9492587447166443,0.3106685280799866,0.04588450863957405,0.08354123681783676,0.0711406022310257,0.2557517886161804,0.022806858643889427,-0.34813326597213745,-0.2945397198200226,-0.4053809344768524,0.14251203835010529
Popescu,F17,9.142857142857142,neutrophil,30,0.25669345259666443,0.15873223543167114,0.06575442850589752,0.05389167368412018,0.08718538284301758,0.010056833736598492,0.3270411491394043,0.06186553090810776,0.0,0.05202670022845268,0.013571851886808872,0.0,0.45245417952537537,0.19344373047351837,0.08089566975831985,0.06954510509967804,0.12467169016599655,0.18405799567699432,0.8099225759506226,0.02024628035724163,0.041043780744075775,0.5081353783607483,0.32334548234939575,0.029156597331166267,0.03386908769607544,0.05834128335118294,0.08404526114463806,0.27674826979637146,0.016752146184444427,0.025876939296722412,0.07153312116861343,0.11537912487983704,0.032594211399555206,0.031231196597218513,0.2630620300769806,0.2567773461341858,0.17674808204174042,0.0,0.09019418060779572,0.6063379645347595,0.0625855103135109,0.3488616645336151,0.40792128443717957,0.18809154629707336,0.4715133309364319,0.28032368421554565,0.33927205204963684,0.42515328526496887,0.4154914617538452,0.30772271752357483,0.49646177887916565,0.04566231742501259,0.12254481017589569,0.9584631323814392,0.7054233551025391,0.17777703702449799,0.17798757553100586,0.03216374292969704,0.06853974610567093,0.007060108240693808,0.025970209389925003,2.120720386505127,0.21113331615924835,0.12947405874729156,0.11086783558130264,0.15792639553546906,0.1387483924627304,0.48851749300956726,0.4427127540111542,0.4290473163127899,0.13818079233169556,0.17760437726974487,0.07995402067899704,0.19858495891094208,0.0644371286034584,0.4951117932796478,0.20780719816684723,0.5253250002861023,0.3818334639072418,0.24872608482837677,0.06086765602231026,0.7656936645507812,0.24183838069438934,0.07180588692426682,0.1609344482421875,0.06849029660224915,0.20707902312278748,0.2371646910905838,0.364234983921051,0.15504756569862366,0.08598939329385757,0.10837658494710922,0.052095890045166016,0.05406069755554199,0.4144096374511719,0.06341265141963959,0.4600156545639038,0.08514939993619919,0.5602437257766724,0.3734786808490753,0.062028445303440094,0.25055572390556335,0.5049787163734436,0.3447948098182678,0.652276873588562,0.29598045349121094,0.49906113743782043,0.24117523431777954,1.1650753021240234,0.14080975949764252,1.1851314306259155,0.07666581124067307,0.09781153500080109,0.18564561009407043,0.04289160296320915,0.21691876649856567,0.20053666830062866,0.2798769772052765,0.4001392424106598,0.15264058113098145,0.44258466362953186,0.3543948829174042,0.784002959728241,1.0584180355072021,0.13488835096359253,0.25930702686309814,0.2737693786621094,0.4806293547153473,0.09379952400922775,0.06287457048892975,0.18468189239501953,-0.0672377422451973,-0.05063531547784805
Popescu,F17,9.142857142857142,stem_progenitor,55,0.34092167019844055,0.26129379868507385,0.18938618898391724,0.11578049510717392,0.26830288767814636,0.06268341839313507,0.6231836080551147,0.13816490769386292,0.013648501597344875,0.11986102908849716,0.004756370093673468,0.0,0.6142199635505676,0.26166096329689026,0.06252861768007278,0.304872065782547,0.03226722031831741,0.16252069175243378,0.7657088041305542,0.03491292521357536,0.0,0.5949334502220154,0.6745288968086243,0.05976208299398422,0.03440001234412193,0.05806484818458557,0.20338395237922668,0.5109718441963196,0.21902945637702942,0.005624409765005112,0.1570325344800949,0.13358792662620544,0.027370721101760864,0.026287434622645378,0.07905524224042892,0.4735533893108368,0.12136190384626389,0.0,0.05650327727198601,0.4476913511753082,0.09148640930652618,0.26106736063957214,0.35395917296409607,0.1702210009098053,0.6592177748680115,0.3273417055606842,0.439371794462204,0.3455910384654999,0.30242249369621277,0.4286596477031708,0.36650484800338745,0.10895135998725891,0.17850780487060547,0.7192621231079102,0.9496146440505981,0.22486943006515503,0.16176891326904297,0.041964542120695114,0.09585575759410858,0.010701050981879234,0.09010400623083115,1.666510820388794,0.19540025293827057,0.05211947113275528,0.24339541792869568,0.06775061786174774,0.09296316653490067,0.5126238465309143,0.527367353439331,0.2769296169281006,0.13102048635482788,0.11789209395647049,0.08623922616243362,0.169334277510643,0.07127807289361954,0.4709700047969818,0.41786718368530273,0.5248082876205444,0.2883603274822235,0.2541835904121399,0.07896990329027176,0.4315078854560852,0.15752173960208893,0.08458828181028366,0.20458249747753143,0.045582033693790436,0.1327143907546997,0.13302630186080933,0.725375771522522,0.10174816101789474,0.17897804081439972,0.11988278478384018,0.004348481073975563,0.06190715357661247,0.3832867741584778,0.07313809543848038,0.39811140298843384,0.0370895154774189,0.5200039744377136,0.4272480607032776,0.10685151815414429,0.440798282623291,0.8252148628234863,0.3258020281791687,0.7140942811965942,0.35996994376182556,0.463508665561676,0.4886750280857086,1.3613771200180054,0.11317289620637894,0.862840473651886,0.048190344125032425,0.1278826743364334,0.14122243225574493,0.0802571102976799,0.41239774227142334,0.1521252691745758,0.17540200054645538,0.4268873333930969,0.13771913945674896,0.4342833459377289,0.18897883594036102,0.7999507784843445,1.074843168258667,0.15895146131515503,0.6118258237838745,0.376205176115036,0.5087812542915344,0.16013702750205994,0.09359658509492874,0.26387345790863037,-0.08829010277986526,0.1440887302160263
Popescu,F21,16.285714285714285,erythroid,3314,0.36227208375930786,0.09472125768661499,0.24776333570480347,0.025377865880727768,0.21740590035915375,0.03216717392206192,0.26317092776298523,0.06005629152059555,0.0079214321449399,0.1267871856689453,0.0017554137157276273,7.700345304328948e-05,0.08781452476978302,0.020841212943196297,0.07772833853960037,0.22887907922267914,0.020965248346328735,0.20362310111522675,0.4725062847137451,0.017978694289922714,0.1533462256193161,0.4010310471057892,0.7708076238632202,0.03351026400923729,0.031125737354159355,0.12009216845035553,0.13834823668003082,0.5066676735877991,0.033317629247903824,0.0011009216541424394,0.061613354831933975,0.09904226660728455,0.009323363192379475,0.031679730862379074,0.004150482825934887,0.36874690651893616,0.18965663015842438,0.00038226658944040537,0.09247875958681107,0.7402922511100769,0.42143702507019043,0.4523578882217407,0.7079958915710449,0.19617679715156555,0.697393536567688,0.6834623217582703,0.7929758429527283,0.8193917274475098,0.7690214514732361,1.0343163013458252,0.41847139596939087,0.18657180666923523,0.22824659943580627,1.1519365310668945,1.5513226985931396,0.30089521408081055,0.38737183809280396,0.07883668690919876,0.17880737781524658,0.05040533468127251,0.27619022130966187,2.6373181343078613,0.5872344970703125,0.14946241676807404,0.5696329474449158,0.20770898461341858,0.1932561993598938,0.6050296425819397,0.7121807932853699,0.8208963871002197,0.17702114582061768,0.2453358918428421,0.17135025560855865,0.2856810986995697,0.1355646401643753,1.2107269763946533,0.32115375995635986,0.5712705850601196,0.7329481840133667,0.5119479894638062,0.1267957091331482,0.7664510011672974,0.3691336214542389,0.16418692469596863,0.28366944193840027,0.3364034593105316,0.2549375891685486,0.2595316469669342,0.2982398271560669,0.10116658359766006,0.21931469440460205,0.19797293841838837,0.0749281495809555,0.11461987346410751,0.7069035172462463,0.09094397723674774,0.6949815154075623,0.08690182119607925,0.880539059638977,0.4030238389968872,0.254305362701416,0.3935384750366211,0.7704300284385681,0.4366396963596344,0.7468661665916443,0.49304884672164917,0.504571259021759,0.34888091683387756,1.3475298881530762,0.14677508175373077,1.3912034034729004,0.10704947263002396,0.1826704740524292,0.21705684065818787,0.04418075084686279,0.43319886922836304,0.2667113244533539,0.3404034674167633,0.3728595972061157,0.2929181754589081,0.5553455352783203,0.8333300948143005,0.26012149453163147,1.3637728691101074,0.1514316350221634,0.26875779032707214,0.4124807119369507,0.6097661852836609,0.18257394433021545,0.41398176550865173,0.45239877700805664,0.3729453682899475,-0.03757333382964134
