human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
MSH2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
NASP,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
ORC1,proliferation,S_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
PCNA,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
POLA1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
POLA2,proliferation,S_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
POLD3,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
POLR1B,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
PRIM1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
RAD51,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
RAD51AP1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
RFC2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
RFC3,proliferation,S_phase,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,1
RRM1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
RRM2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
TIPIN,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
TYMS,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
UBR7,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
UHRF1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
UNG,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
USP1,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
WDR76,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
