source_hpf,target_hpf,source,target,mass,conditional_target_fraction,source_mass_fraction,model,matrix_kind
12.0,14.0,erythroblast,erythroblast,0.00039983493493497575,0.0024892267035418196,0.3114757023709828,M0,raw
12.0,14.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,1.7492111839181464e-10,1.088995184938295e-09,0.3114757023709828,M0,raw
12.0,14.0,erythroblast,macrophage,0.008600022055331034,0.05354060558680309,0.3114757023709828,M0,raw
12.0,14.0,erythroblast,macrophage_immature,0.15135425611580816,0.9422764823675256,0.3114757023709828,M0,raw
12.0,14.0,erythroblast,non_specific_hematopoietic,0.00027205000339614884,0.0016936842531342763,0.3114757023709828,M0,raw
12.0,14.0,macrophage_immature,erythroblast,0.013236590746988712,0.08373210452229887,0.3065434369731083,M0,raw
12.0,14.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,3.1157189738135936e-07,1.9709433627146053e-06,0.3065434369731083,M0,raw
12.0,14.0,macrophage_immature,macrophage,0.027686964066867326,0.1751423620677758,0.3065434369731083,M0,raw
12.0,14.0,macrophage_immature,macrophage_immature,0.10050107455422769,0.6357502955277492,0.3065434369731083,M0,raw
12.0,14.0,macrophage_immature,non_specific_hematopoietic,0.01665768247555298,0.10537326693881335,0.3065434369731083,M0,raw
12.0,14.0,microglia,erythroblast,0.0106735049583796,0.38832621839907694,0.05329889809999079,M0,raw
12.0,14.0,microglia,hematopoietic_stem_and_progenitor_HSPC,9.202523513069134e-13,3.3480859094492326e-11,0.05329889809999079,M0,raw
12.0,14.0,microglia,macrophage,0.010204983409494162,0.3712803462112046,0.05329889809999079,M0,raw
12.0,14.0,microglia,macrophage_immature,0.003265777677978724,0.11881636826579282,0.05329889809999079,M0,raw
12.0,14.0,microglia,non_specific_hematopoietic,0.003341658036289306,0.12157706709044477,0.05329889809999079,M0,raw
12.0,14.0,non_specific_hematopoietic,erythroblast,0.01937488383745437,0.11430655176699629,0.32868196255591803,M0,raw
12.0,14.0,non_specific_hematopoietic,hematopoietic_stem_and_progenitor_HSPC,0.002580123948873509,0.015222030449392689,0.32868196255591803,M0,raw
12.0,14.0,non_specific_hematopoietic,macrophage,0.004819235293858859,0.028432179166406352,0.32868196255591803,M0,raw
12.0,14.0,non_specific_hematopoietic,macrophage_immature,0.12490984714899626,0.7369341684383641,0.32868196255591803,M0,raw
12.0,14.0,non_specific_hematopoietic,non_specific_hematopoietic,0.017815238881438246,0.1051050701788406,0.32868196255591803,M0,raw
12.0,14.0,erythroblast,erythroblast,0.00039956864588295703,0.0024876699737364323,0.3114552632774551,M1,raw
12.0,14.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,1.7476708752388265e-10,1.0880804600416072e-09,0.3114552632774551,M1,raw
12.0,14.0,erythroblast,macrophage,0.008595803904061231,0.053516519608305946,0.3114552632774551,M1,raw
12.0,14.0,erythroblast,macrophage_immature,0.1513523819569436,0.9423031059300541,0.3114552632774551,M1,raw
12.0,14.0,erythroblast,non_specific_hematopoietic,0.00027188140408069547,0.001692703399823236,0.3114552632774551,M1,raw
12.0,14.0,macrophage_immature,erythroblast,0.0132457200915827,0.08373837428936176,0.306724230041764,M1,raw
12.0,14.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,3.109725610324919e-07,1.965943454143209e-06,0.306724230041764,M1,raw
12.0,14.0,macrophage_immature,macrophage,0.027700407561403573,0.1751197428532945,0.306724230041764,M1,raw
12.0,14.0,macrophage_immature,macrophage_immature,0.10057009496622879,0.635796030443857,0.306724230041764,M1,raw
12.0,14.0,macrophage_immature,non_specific_hematopoietic,0.016663275892123276,0.10534388647003257,0.306724230041764,M1,raw
12.0,14.0,microglia,erythroblast,0.010662348642841825,0.3883726908298536,0.05323548707240286,M1,raw
12.0,14.0,microglia,hematopoietic_stem_and_progenitor_HSPC,9.167241501184736e-13,3.339138841321266e-11,0.05323548707240286,M1,raw
12.0,14.0,microglia,macrophage,0.01019347133114934,0.3712939824410287,0.05323548707240286,M1,raw
