source_hpf,target_hpf,n_source_cells,n_fish,aggregate_source_mass_tvd_M0_M1,joint_coupling_tvd_M0_M1,mean_fish_source_mass_tvd_M0_M1,fish_bootstrap_source_tvd_ci_low,fish_bootstrap_source_tvd_ci_high,mean_fish_conditional_fate_tvd_M0_M1,fish_bootstrap_fate_tvd_ci_low,fish_bootstrap_fate_tvd_ci_high,dominant_growth_effect_threshold_tvd,supports_dominant_growth_redistribution,interpretation
12.0,14.0,19,4,0.0004281841733404173,0.0004343751603033025,0.00036894243404983604,0.00027040992231794694,0.0005199759254331111,0.00010579793825274114,7.959022005135014e-05,0.00012958667750054666,0.05,False,no evidence that growth prior dominates transport
14.0,16.0,77,4,0.0004239703454576028,0.00048645894772454505,0.0004016184621783815,0.0002830576379594255,0.00046579433923481955,0.0001782878970138022,0.00014412569306034733,0.00021663046865627068,0.05,False,no evidence that growth prior dominates transport
16.0,19.0,186,4,0.0012045945539914372,0.0013674629233981328,0.0012239538739141984,0.001138474121249769,0.001309433626578628,0.0007228601584306845,0.0005667214551205225,0.0008789988617408462,0.05,False,no evidence that growth prior dominates transport
19.0,24.0,79,4,0.0021467702355333043,0.0024110082939474402,0.0017980340884152144,0.0012049300450033187,0.00239113813182711,0.0013226232027843629,0.0012597101105310585,0.001412775044615964,0.05,False,no evidence that growth prior dominates transport
24.0,48.0,1177,4,0.009821136728920793,0.010321134828858054,0.009481157885153763,0.00887921119545014,0.010083104574857383,0.002152683000699704,0.001868619168077767,0.0026695673314225815,0.05,False,no evidence that growth prior dominates transport
48.0,72.0,466,4,0.011102750669063393,0.011258658992992752,0.010981588034683274,0.009847875965730947,0.012341242208621993,0.0014176741898976977,0.0010615976446549846,0.0017370988264679105,0.05,False,no evidence that growth prior dominates transport
72.0,120.0,528,4,0.018374117407722042,0.019923138360596858,0.0160941798464995,0.012145715622128371,0.020610696335214618,0.005246795035871625,0.003336599357286242,0.007865499296295033,0.05,False,no evidence that growth prior dominates transport
120.0,240.0,1456,4,0.05652611423150272,0.06189779783553385,0.05685147788608831,0.052801583096212176,0.06103659953086224,0.026366943914896114,0.024398391590111243,0.028335496239680985,0.05,True,growth prior produces >=5% source-mass redistribution
