source_hpf,target_hpf,n_valid_cells,n_fish,cell_weighted_mean_cosine,fish_weighted_mean_cosine,fish_bootstrap_ci_low,fish_bootstrap_ci_high,within_fish_permuted_mean_cosine,permutation_p_greater,permutation_p_less,permutation_p_two_sided,permutation_q_greater,permutation_q_less,permutation_q_two_sided,directional_evidence,interpretation
12.0,14.0,19,4,0.708988518303277,0.7022984786180115,0.5998704153690778,0.8047265418669454,0.7127472172058815,0.5767116441779111,0.4237881059470265,0.847576211894053,0.6590990219176127,1.0,0.847576211894053,insufficient_or_mixed,no robust direction-level evidence
14.0,16.0,77,4,0.14060867865885723,0.1440840339977887,0.00017462497727103315,0.2832489237815857,0.1318398770554557,0.3428285857071464,0.657671164417791,0.6856571714142928,0.4571047809428619,1.0,0.783608195902049,insufficient_or_mixed,no robust direction-level evidence
16.0,19.0,186,4,0.13722699550600903,0.15761245652354516,0.07751733627271203,0.21540466636719324,0.09566763408326855,0.0004997501249375312,1.0,0.0009995002498750624,0.0013326669998334165,1.0,0.002665333999666833,positive_concordance,"positive direction, fish CI above zero, and better than within-fish shuffle"
19.0,24.0,79,4,0.1881356604997268,0.26088712138830994,-0.054749076862301814,0.5024621497594451,0.2393748813476852,0.18590704647676162,0.8145927036481759,0.37181409295352325,0.2974512743628186,1.0,0.495752123938031,insufficient_or_mixed,no robust direction-level evidence
24.0,48.0,1177,4,-0.003334654594920102,0.010532134058566971,-0.031964099013907246,0.05302836713104119,-0.008834025834333258,0.0014992503748125937,0.999000499750125,0.0029985007496251873,0.0029985007496251873,1.0,0.005997001499250375,insufficient_or_mixed,no robust direction-level evidence
48.0,72.0,466,4,0.24873599315666953,0.20061696801044726,0.10498872037917543,0.26483491239770074,0.06869130251160721,0.0004997501249375312,1.0,0.0009995002498750624,0.0013326669998334165,1.0,0.002665333999666833,positive_concordance,"positive direction, fish CI above zero, and better than within-fish shuffle"
72.0,120.0,528,4,-0.0031189801612441863,-0.010965846278384763,-0.13469568064870663,0.10874725296612592,0.0038678472399773733,0.9100449775112444,0.09045477261369315,0.1809095452273863,0.9100449775112444,0.7236381809095452,0.2894552723638181,insufficient_or_mixed,no robust direction-level evidence
120.0,240.0,1456,4,-0.09403495552980755,-0.09106179130904657,-0.13781129829360395,-0.03307834849898613,-0.13188151475066173,0.0004997501249375312,1.0,0.0009995002498750624,0.0013326669998334165,1.0,0.002665333999666833,insufficient_or_mixed,better than shuffled null but not positive absolute directional agreement
