model,source_day,target_day,converged,cost
M0,0.5,0.5833333333333334,True,0.12278907746076584
M0,0.5833333333333334,0.6666666666666666,True,0.11686845123767853
M0,0.6666666666666666,0.7916666666666666,True,0.10100676864385605
M0,0.7916666666666666,1.0,True,0.11158174276351929
M0,1.0,2.0,True,0.11908307671546936
M0,2.0,3.0,True,0.0678422600030899
M0,3.0,5.0,True,0.061876896768808365
M0,5.0,10.0,True,0.06262938678264618
M1,0.5,0.5833333333333334,True,0.12278720736503601
M1,0.5833333333333334,0.6666666666666666,True,0.11687333881855011
M1,0.6666666666666666,0.7916666666666666,True,0.10104883462190628
M1,0.7916666666666666,1.0,True,0.11159180104732513
M1,1.0,2.0,True,0.11963275820016861
M1,2.0,3.0,True,0.0676189512014389
M1,3.0,5.0,True,0.06164993718266487
M1,5.0,10.0,True,0.06289917230606079
