source_hpf,target_hpf,source,target,mass,conditional_target_fraction,source_mass_fraction,model,matrix_kind,source_type_cells,source_type_fish,source_type_supported,target_type_cells,target_type_fish,target_type_supported,source_time_cells,source_time_fish,source_time_supported,target_time_cells,target_time_fish,target_time_supported,supported_for_type_level_claim,support_status
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.010713011321604467,0.2065174662420793,0.07059792590303955,M0,raw,27,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage,0.008131522058951781,0.15675343578884524,0.07059792590303955,M0,raw,27,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage_immature,0.012456809528748617,0.2401331114202602,0.07059792590303955,M0,raw,27,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,neutrophil,0.001072724999820978,0.020679194886203504,0.07059792590303955,M0,raw,27,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,non_specific_hematopoietic,0.00973742277087508,0.18771079559242665,0.07059792590303955,M0,raw,27,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,erythroblast,0.025486851346372838,0.10442151237425225,0.33217226910912007,M0,raw,93,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,macrophage,0.07142469260331907,0.292632240881574,0.33217226910912007,M0,raw,93,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,macrophage_immature,0.05485602276309172,0.22474917681715306,0.33217226910912007,M0,raw,93,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,neutrophil,0.0002995809411032753,0.001227405242152746,0.33217226910912007,M0,raw,93,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,non_specific_hematopoietic,0.07076726930954569,0.2899387290910072,0.33217226910912007,M0,raw,93,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,erythroblast,0.019862203969054318,0.13067329458985236,0.20686059182650987,M0,raw,80,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,macrophage,0.04415993638439248,0.2905278983750968,0.20686059182650987,M0,raw,80,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,macrophage_immature,0.03471335018971717,0.22837887691662812,0.20686059182650987,M0,raw,80,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,neutrophil,0.00026656894191630934,0.001753755118505795,0.20686059182650987,M0,raw,80,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,non_specific_hematopoietic,0.04030888440087581,0.2651918555519061,0.20686059182650987,M0,raw,80,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,erythroblast,0.0071970214601752925,0.09225527549905935,0.10616925107894631,M0,raw,42,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,macrophage,0.01500963659043358,0.192401560347367,0.10616925107894631,M0,raw,42,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,macrophage_immature,0.014265429752582935,0.18286191853386005,0.10616925107894631,M0,raw,42,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,neutrophil,0.018746541803137264,0.24030321269334354,0.10616925107894631,M0,raw,42,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,non_specific_hematopoietic,0.01763032306325688,0.2259949230856633,0.10616925107894631,M0,raw,42,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,erythroblast,0.015711589294178402,0.5078843638137721,0.04210100294005261,M0,raw,127,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,macrophage,0.004589546740107272,0.14835921323100276,0.04210100294005261,M0,raw,127,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,macrophage_immature,0.004186335025162357,0.13532520874598628,0.04210100294005261,M0,raw,127,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,neutrophil,6.255874844195362e-05,0.0020222403703742493,0.04210100294005261,M0,raw,127,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,non_specific_hematopoietic,0.0048898710675020895,0.15806733550309096,0.04210100294005261,M0,raw,127,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,erythroblast,0.12354193848117176,0.6973738224047871,0.24280996802068328,M1,raw,807,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,macrophage,0.011810993341106435,0.06667110516434208,0.24280996802068328,M1,raw,807,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,macrophage_immature,0.01646250072494011,0.09292809549562585,0.24280996802068328,M1,raw,807,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,neutrophil,0.0012790786527335691,0.00722018757500003,0.24280996802068328,M1,raw,807,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,non_specific_hematopoietic,0.013574054576258683,0.07662329441932297,0.24280996802068328,M1,raw,807,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.010487573469913998,0.2053562848211468,0.06999785935776524,M1,raw,27,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage,0.008052500657556357,0.15767533102861547,0.06999785935776524,M1,raw,27,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage_immature,0.012283329401009811,0.2405188290944504,0.06999785935776524,M1,raw,27,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,neutrophil,0.0010505559184100972,0.020570846156211433,0.06999785935776524,M1,raw,27,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,non_specific_hematopoietic,0.009625244033737474,0.18847108541700117,0.06999785935776524,M1,raw,27,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,erythroblast,0.02480802051202439,0.1043415426215604,0.3258761677442248,M1,raw,93,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,macrophage,0.06960257497717848,0.29274564812744863,0.3258761677442248,M1,raw,93,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,macrophage_immature,0.05338995849589625,0.22455603127475443,0.3258761677442248,M1,raw,93,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,neutrophil,0.000287353771873408,0.0012085984780955288,0.3258761677442248,M1,raw,93,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,non_specific_hematopoietic,0.06898024359433796,0.2901281472076992,0.3258761677442248,M1,raw,93,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,erythroblast,0.019985140936704802,0.13024710970921208,0.21030851744434942,M1,raw,80,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,macrophage,0.044625203375948094,0.29083126200166587,0.21030851744434942,M1,raw,80,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,macrophage_immature,0.03502439163007599,0.22826087609733323,0.21030851744434942,M1,raw,80,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,neutrophil,0.0002648600495613076,0.0017261452417101128,0.21030851744434942,M1,raw,80,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage_immature,non_specific_hematopoietic,0.0407427758110252,0.2655287149449245,0.21030851744434942,M1,raw,80,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,erythroblast,0.007075589752986751,0.09198094047904064,0.10543445071372516,M1,raw,42,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,macrophage,0.014807586400982316,0.19249501044235517,0.10543445071372516,M1,raw,42,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,macrophage_immature,0.014052309241535863,0.18267659164286248,0.10543445071372516,M1,raw,42,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,neutrophil,0.01852254444412631,0.24078855862387888,0.10543445071372516,M1,raw,42,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,neutrophil,non_specific_hematopoietic,0.017397913777410002,0.226168634345133,0.10543445071372516,M1,raw,42,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,erythroblast,0.015644392711015153,0.5100892034184282,0.0420368649226211,M1,raw,127,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,macrophage,0.004530763307729289,0.14772663210441175,0.0420368649226211,M1,raw,127,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,macrophage_immature,0.004127709456358044,0.13458496391834462,0.0420368649226211,M1,raw,127,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,neutrophil,6.197766850061048e-05,0.002020796852852487,0.0420368649226211,M1,raw,127,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,non_specific_hematopoietic,non_specific_hematopoietic,0.004828404677322607,0.15743130085856077,0.0420368649226211,M1,raw,127,4,True,72,4,True,1177,4,True,466,4,True,True,supported
48.0,72.0,erythroblast,erythroblast,0.2757496363332868,0.6974726570788378,0.3247044532580022,M0,raw,187,3,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.038984092704559443,0.09860516620806349,0.3247044532580022,M0,raw,187,3,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,macrophage,0.03366714110992842,0.08515663222057114,0.3247044532580022,M0,raw,187,3,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,microglia,0.018218329375985134,0.04608088252217184,0.3247044532580022,M0,raw,187,3,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,non_specific_hematopoietic,0.016461543953733743,0.041637323456534245,0.3247044532580022,M0,raw,187,3,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,erythroblast,0.015111238744954299,0.061615401051579755,0.20142402530780024,M0,raw,73,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,hematopoietic_stem_and_progenitor_HSPC,0.05303721310309584,0.21625686756464743,0.20142402530780024,M0,raw,73,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,macrophage,0.09067632488745403,0.36972866474559296,0.20142402530780024,M0,raw,73,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,microglia,0.049092282735841763,0.2001715901892187,0.20142402530780024,M0,raw,73,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,non_specific_hematopoietic,0.026565310770443773,0.10831886814886628,0.20142402530780024,M0,raw,73,4,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,erythroblast,0.01859983516075322,0.08527188419037449,0.1791445990038868,M0,raw,64,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,0.0592080575709133,0.2714423318641652,0.1791445990038868,M0,raw,64,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,macrophage,0.06575159468522429,0.3014415084259186,0.1791445990038868,M0,raw,64,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,microglia,0.03665133292419398,0.1680298878739184,0.1791445990038868,M0,raw,64,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,non_specific_hematopoietic,0.02801379974781182,0.12843068055077403,0.1791445990038868,M0,raw,64,4,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,erythroblast,0.0014989672769495724,0.08815903156544676,0.013964513963537123,M0,raw,41,3,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,hematopoietic_stem_and_progenitor_HSPC,0.004850218656238874,0.2852567805781837,0.013964513963537123,M0,raw,41,3,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,macrophage,0.005039225103800673,0.2963728507105367,0.013964513963537123,M0,raw,41,3,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,microglia,0.0030283999287346866,0.17810982869047623,0.013964513963537123,M0,raw,41,3,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,non_specific_hematopoietic,0.0017154800033037175,0.10089283341055412,0.013964513963537123,M0,raw,41,3,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,erythroblast,0.018484343400612713,0.07596605346226146,0.19984116217249234,M0,raw,72,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,hematopoietic_stem_and_progenitor_HSPC,0.061055830746795436,0.2509242769499784,0.19984116217249234,M0,raw,72,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,macrophage,0.06716844150753332,0.2760455866865642,0.19984116217249234,M0,raw,72,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,microglia,0.03827435334466145,0.1572980716381659,0.19984116217249234,M0,raw,72,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,non_specific_hematopoietic,0.045078966093626605,0.18526333741334824,0.19984116217249234,M0,raw,72,4,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,erythroblast,0.2747049954093875,0.6925725808527501,0.3252325707194886,M1,raw,187,3,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.03964838033904177,0.099959525880188,0.3252325707194886,M1,raw,187,3,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,macrophage,0.03444957897819453,0.08685256628355985,0.3252325707194886,M1,raw,187,3,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,microglia,0.01864916359371488,0.04701734433913715,0.3252325707194886,M1,raw,187,3,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,erythroblast,non_specific_hematopoietic,0.01678609862694475,0.04232027754423081,0.3252325707194886,M1,raw,187,3,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,erythroblast,0.014708535841424413,0.061515549066952974,0.19605472211379155,M1,raw,73,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,hematopoietic_stem_and_progenitor_HSPC,0.05161469414036901,0.21586827432717154,0.19605472211379155,M1,raw,73,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,macrophage,0.08843343861673247,0.36985540852176035,0.19605472211379155,M1,raw,73,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,microglia,0.04787497980760236,0.20022765700034076,0.19605472211379155,M1,raw,73,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage,non_specific_hematopoietic,0.025959924792260836,0.1085722633815929,0.19605472211379155,M1,raw,73,4,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,erythroblast,0.019060463030644983,0.08490579401490828,0.18407249015895408,M1,raw,64,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,0.060791389992743916,0.27079831315248015,0.18407249015895408,M1,raw,64,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,macrophage,0.06783571960309587,0.30217763473076725,0.18407249015895408,M1,raw,64,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,microglia,0.03780689895623368,0.16841273845023713,0.18407249015895408,M1,raw,64,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,macrophage_immature,non_specific_hematopoietic,0.028806200435224305,0.1283186728765714,0.18407249015895408,M1,raw,64,4,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,erythroblast,0.001475868327061888,0.08809459587772037,0.013736975183455517,M1,raw,41,3,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,hematopoietic_stem_and_progenitor_HSPC,0.004774688500535459,0.28500120653312977,0.013736975183455517,M1,raw,41,3,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,macrophage,0.004973831622192212,0.2968880615475634,0.013736975183455517,M1,raw,41,3,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,microglia,0.0029880444738347826,0.17835640589371674,0.013736975183455517,M1,raw,41,3,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,neutrophil,non_specific_hematopoietic,0.001683882455461904,0.10051096137743694,0.013736975183455517,M1,raw,41,3,True,44,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,erythroblast,0.01848665057160767,0.0758551165457701,0.199832499760318,M1,raw,72,4,True,268,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,hematopoietic_stem_and_progenitor_HSPC,0.06108795970828851,0.2506584026817875,0.199832499760318,M1,raw,72,4,True,70,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,macrophage,0.06741963899742132,0.2766387861237319,0.199832499760318,M1,raw,72,4,True,78,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,microglia,0.03840379167121455,0.15757987536658016,0.199832499760318,M1,raw,72,4,True,52,4,True,466,4,True,528,4,True,True,supported
48.0,72.0,non_specific_hematopoietic,non_specific_hematopoietic,0.04504314342486282,0.18482271198052255,0.199832499760318,M1,raw,72,4,True,44,4,True,466,4,True,528,4,True,True,supported
72.0,120.0,erythroblast,erythroblast,0.22598619582000734,0.7598676886722893,0.22034365886676632,M0,raw,268,4,True,330,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.0203635577331423,0.06847148115255644,0.22034365886676632,M0,raw,268,4,True,190,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,innate-lymphoid-cell,0.0025240654797141254,0.008487048490587859,0.22034365886676632,M0,raw,268,4,True,42,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,macrophage,0.025951691287425988,0.08726131082546107,0.22034365886676632,M0,raw,268,4,True,425,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,macrophage_immature,0.007865013056856975,0.026445727232168297,0.22034365886676632,M0,raw,268,4,True,75,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,microglia,0.0015857392116873927,0.005331971650965941,0.22034365886676632,M0,raw,268,4,True,75,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,neutrophil,0.005972958405363034,0.020083784682290353,0.22034365886676632,M0,raw,268,4,True,244,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,erythroblast,non_specific_hematopoietic,0.007152812529390612,0.0240509872936807,0.22034365886676632,M0,raw,268,4,True,75,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.04730837753690897,0.1561121772523751,0.22452147993616678,M0,raw,70,4,True,330,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,hematopoietic_stem_and_progenitor_HSPC,0.07400469033172907,0.24420692351075862,0.22452147993616678,M0,raw,70,4,True,190,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,innate-lymphoid-cell,0.010124166339595675,0.03340857861604773,0.22452147993616678,M0,raw,70,4,True,42,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,macrophage,0.0951589350173041,0.3140134856448778,0.22452147993616678,M0,raw,70,4,True,425,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,macrophage_immature,0.02796346541500716,0.09227620342829217,0.22452147993616678,M0,raw,70,4,True,75,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,microglia,0.004821577593974169,0.015910648709086043,0.22452147993616678,M0,raw,70,4,True,75,4,True,528,4,True,1456,4,True,True,supported
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,neutrophil,0.016975826312001525,0.05601826450626295,0.22452147993616678,M0,raw,70,4,True,244,4,True,528,4,True,1456,4,True,True,supported
