source_hpf,target_hpf,source,M0,M1,growth_change_M1_minus_M0,source_type_supported,source_time_supported,target_time_supported,supported_for_source_mass_claim
12.0,14.0,erythroblast,0.3114757023709828,0.3114552632774551,-2.0439093527724328e-05,False,False,True,False
12.0,14.0,macrophage_immature,0.3065434369731083,0.306724230041764,0.00018079306865570466,False,False,True,False
12.0,14.0,microglia,0.05329889809999079,0.05323548707240286,-6.341102758793127e-05,False,False,True,False
12.0,14.0,non_specific_hematopoietic,0.32868196255591803,0.32858501960837805,-9.694294753997967e-05,False,False,True,False
14.0,16.0,erythroblast,0.5887240804450797,0.588925571639728,0.00020149119464829557,True,True,True,True
14.0,16.0,hematopoietic_stem_and_progenitor_HSPC,0.03838328378588224,0.03829632962157623,-8.69541643060065e-05,False,True,True,False
14.0,16.0,macrophage,0.00999644859027102,0.009977966507132677,-1.8482083138341918e-05,False,True,True,False
14.0,16.0,macrophage_immature,0.09012386093203932,0.09013701523817962,1.3154306140295002e-05,True,True,True,True
14.0,16.0,non_specific_hematopoietic,0.2727723262467277,0.2726631169933832,-0.00010920925334451104,False,True,True,False
16.0,19.0,erythroblast,0.4858709855549445,0.4866435610779808,0.0007725755230362785,True,True,True,True
16.0,19.0,hematopoietic_stem_and_progenitor_HSPC,0.16164291104150538,0.16136898114123543,-0.000273929900269948,True,True,True,True
16.0,19.0,macrophage,0.20754073813023946,0.20682482387867604,-0.0007159142515634209,True,True,True,True
16.0,19.0,macrophage_immature,0.050110458619441925,0.050221569323900636,0.00011111070445871118,False,True,True,False
16.0,19.0,neutrophil,0.019984307050701783,0.01999199810597336,7.691055271576153e-06,False,True,True,False
16.0,19.0,non_specific_hematopoietic,0.07485059960316666,0.07494906647223376,9.846686906710145e-05,False,True,True,False
19.0,24.0,erythroblast,0.48341767204113534,0.484982163384052,0.0015644913429166407,True,True,True,True
19.0,24.0,hematopoietic_stem_and_progenitor_HSPC,0.09749410071978291,0.09723529074827851,-0.00025880997150440344,False,True,True,False
19.0,24.0,macrophage,0.26360148135937955,0.2621257475788963,-0.0014757337804832682,False,True,True,False
19.0,24.0,macrophage_immature,0.008728279267914259,0.008782171206988843,5.3891939074584075e-05,False,True,True,False
19.0,24.0,neutrophil,0.0738232714662473,0.07386890372461556,4.5632258368261125e-05,False,True,True,False
19.0,24.0,non_specific_hematopoietic,0.07293519514554052,0.07300572335716876,7.052821162824296e-05,False,True,True,False
24.0,48.0,erythroblast,0.23850654514904393,0.24280996802068328,0.004303422871639345,True,True,True,True
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,0.07059792590303955,0.06999785935776524,-0.0006000665452743081,True,True,True,True
24.0,48.0,innate-lymphoid-cell,0.003592413993287759,0.003536171796630983,-5.624219665677612e-05,False,True,True,False
24.0,48.0,macrophage,0.33217226910912007,0.3258761677442248,-0.006296101364895279,True,True,True,True
24.0,48.0,macrophage_immature,0.20686059182650987,0.21030851744434942,0.003447925617839548,True,True,True,True
24.0,48.0,neutrophil,0.10616925107894631,0.10543445071372516,-0.0007348003652211527,True,True,True,True
24.0,48.0,non_specific_hematopoietic,0.04210100294005261,0.0420368649226211,-6.413801743151287e-05,True,True,True,True
48.0,72.0,erythroblast,0.3247044532580022,0.3252325707194886,0.0005281174614863993,True,True,True,True
48.0,72.0,hematopoietic_stem_and_progenitor_HSPC,0.03693502490683712,0.03696359804840321,2.85731415660892e-05,False,True,True,False
48.0,72.0,macrophage,0.20142402530780024,0.19605472211379155,-0.00536930319400869,True,True,True,True
48.0,72.0,macrophage_immature,0.1791445990038868,0.18407249015895408,0.004927891155067282,True,True,True,True
48.0,72.0,microglia,0.04398622138744406,0.044107144015588955,0.00012092262814489274,False,True,True,False
48.0,72.0,neutrophil,0.013964513963537123,0.013736975183455517,-0.0002275387800816063,True,True,True,True
48.0,72.0,non_specific_hematopoietic,0.19984116217249234,0.199832499760318,-8.662412174342826e-06,True,True,True,True
72.0,120.0,erythroblast,0.22034365886676632,0.22830579732244002,0.0079621384556737,True,True,True,True
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,0.22452147993616678,0.22348307484260674,-0.0010384050935600408,True,True,True,True
72.0,120.0,innate-lymphoid-cell,0.003034387320998163,0.0029568253987770393,-7.756192222112355e-05,False,True,True,False
72.0,120.0,macrophage,0.2573131695357526,0.24967767410135508,-0.007635495434397538,True,True,True,True
72.0,120.0,macrophage_immature,0.04185173810537826,0.04465138425664744,0.0027996461512691806,False,True,True,False
72.0,120.0,microglia,0.14625618176697586,0.1418643633396168,-0.004391818427359057,True,True,True,True
72.0,120.0,non_specific_hematopoietic,0.10667938446796195,0.10906088073855696,0.0023814962705950155,True,True,True,True
120.0,240.0,erythroblast,0.22083471385347783,0.23970124920018757,0.018866535346709734,True,True,True,True
120.0,240.0,hematopoietic_stem_and_progenitor_HSPC,0.14704429294551793,0.15072960732790872,0.003685314382390781,True,True,True,True
120.0,240.0,innate-lymphoid-cell,0.027187195220174456,0.027058134083168855,-0.00012906113700560107,True,True,True,True
120.0,240.0,macrophage,0.30050791817799793,0.27636146487671026,-0.024146453301287674,True,True,True,True
120.0,240.0,macrophage_immature,0.05632228900084095,0.06956022091502172,0.013237931914180767,True,True,True,True
120.0,240.0,microglia,0.05002334436373009,0.045428418632711354,-0.004594925731018738,True,True,True,True
120.0,240.0,neutrophil,0.13713934490741825,0.1288811453824935,-0.008258199524924736,True,True,True,True
120.0,240.0,non_specific_hematopoietic,0.060940901530842535,0.062279759581797885,0.0013388580509553494,True,True,True,True
