gamma_r2_threshold,n_velocity_genes,velocity_source,graphvelo_fit_cosine_median,cell_cosine_vs_primary_median,cell_cosine_vs_primary_q05,cell_fraction_positive_vs_primary,cell_fraction_cosine_ge_0.5_vs_primary
0.01,522,saved_primary,,1.0,0.9999999999999998,1.0,1.0
0.05,479,strict_qc_refit,0.501201057073164,0.9983912534462943,0.9429321524756797,0.9972355326207151,0.9935495761150018
0.1,448,strict_qc_refit,0.5020019150877278,0.9973083448184832,0.8786970483744414,0.986914854404718,0.9804644305197199
0.2,371,strict_qc_refit,0.4808651757665781,0.9731937956399964,-0.6110370062951533,0.9006634721710284,0.8363435311463324
